name,address,city,state,zip,latitude,longitude
UPS Distribution Center,50-02 55th Ave, Flushing,NY,11378,40.7281827,-73.9173778
UPS Customer Center,10 W 33rd St, New York,NY,10001,40.7479047,-73.9858954
UPS Customer Center,1430 Broadway, New York,NY,10018,40.7537503,-73.9876996
UPS Customer Center,49-10 27th St, Long Island City,NY,11101,40.7412377,-73.9432068
FedEx Ship Center,16 19th St, Brooklyn,NY,11232,40.6666819,-73.9994492
FedEx Home Delivery,100 Morgan Ave, Brooklyn,NY,11237,40.7084334,-73.931757
FedEx Home Delivery,830 Fountain Ave, Brooklyn,NY,11239,40.6592922,-73.868921
Fedex Ground,148 Leroy St, New York,NY,10014,40.7300934,-74.0095018
FEDEX GROUND,46-06 57th Ave, Maspeth,NY,11378,40.7254074,-73.9251437
FedEx Ground,29-01 Borden Ave, Long Island City,NY,11101,40.7392132,-73.9392826
FedEx Ground,300 Maspeth Ave, Brooklyn,NY,11211,40.7176903,-73.9319783
FedEx Ground,727 Granville Payne Ave, Brooklyn,NY,11207,40.6597443,-73.8913235
FedEx Ground,635 Zerega Ave, Bronx,NY,10473,40.8198938,-73.8445832
DYY6 AMZL Delivery Station,566 Gulf Ave, Staten Island,NY,10314,40.6157836,-74.1887054
DYY5- Amazon Delivery Station,1500 Bassett Ave, Bronx,NY,10461,40.8517042,-73.841249
Amazon DBK6,2300 Linden Blvd, Brooklyn,NY,11208,40.6638229,-73.8777935
